FIPS,State,County,Variable_Code,Value
8005,CO,Arapahoe,LACCESS_LOWI15,13732.22079
8005,CO,Arapahoe,PCH_LACCESS_LOWI_10_15,-32.16032312
8005,CO,Arapahoe,PCT_LACCESS_LOWI10,3.53882185
8005,CO,Arapahoe,PCT_LACCESS_LOWI15,2.400725308
8005,CO,Arapahoe,LACCESS_HHNV10,1516.448
8005,CO,Arapahoe,LACCESS_HHNV15,847.3761206
8005,CO,Arapahoe,PCH_LACCESS_HHNV_10_15,-44.12099059
8005,CO,Arapahoe,PCT_LACCESS_HHNV10,0.676952471
8005,CO,Arapahoe,PCT_LACCESS_HHNV15,0.378274335
8005,CO,Arapahoe,LACCESS_SNAP15,1140.006019
8005,CO,Arapahoe,PCT_LACCESS_SNAP15,0.508906268
8005,CO,Arapahoe,LACCESS_CHILD10,25122.57778
8005,CO,Arapahoe,LACCESS_CHILD15,18845.31689
8005,CO,Arapahoe,LACCESS_CHILD_10_15,-24.98653183
8005,CO,Arapahoe,PCT_LACCESS_CHILD10,4.392036017
8005,CO,Arapahoe,PCT_LACCESS_CHILD15,3.29461854
8005,CO,Arapahoe,LACCESS_SENIORS10,10571.33409
8005,CO,Arapahoe,LACCESS_SENIORS15,6301.200547
8005,CO,Arapahoe,PCH_LACCESS_SENIORS_10_15,-40.39351615
8005,CO,Arapahoe,PCT_LACCESS_SENIORS10,1.848125637
8005,CO,Arapahoe,PCT_LACCESS_SENIORS15,1.10160271
8005,CO,Arapahoe,LACCESS_WHITE15,53940.28298
8005,CO,Arapahoe,PCT_LACCESS_WHITE15,9.430069944
8005,CO,Arapahoe,LACCESS_BLACK15,5616.964083
8005,CO,Arapahoe,PCT_LACCESS_BLACK15,0.981981578
8005,CO,Arapahoe,LACCESS_HISP15,8408.63836
8005,CO,Arapahoe,PCT_LACCESS_HISP15,1.470033961
8005,CO,Arapahoe,LACCESS_NHASIAN15,4023.170654
8005,CO,Arapahoe,PCT_LACCESS_NHASIAN15,0.703347824
8005,CO,Arapahoe,LACCESS_NHNA15,433.4508146
8005,CO,Arapahoe,PCT_LACCESS_NHNA15,0.075777717
8005,CO,Arapahoe,LACCESS_NHPI15,108.3678795
8005,CO,Arapahoe,PCT_LACCESS_NHPI15,0.018945334
8005,CO,Arapahoe,LACCESS_MULTIR15,5359.437049
8005,CO,Arapahoe,PCT_LACCESS_MULTIR15,0.936959605
8007,CO,Archuleta,LACCESS_POP10,2741.267495
8007,CO,Archuleta,LACCESS_POP15,3600.901552
8007,CO,Archuleta,PCH_LACCESS_POP_10_15,31.35899939
8007,CO,Archuleta,PCT_LACCESS_POP10,22.68510009
8007,CO,Archuleta,PCT_LACCESS_POP15,29.79892049
8007,CO,Archuleta,LACCESS_LOWI10,935.3773718
8007,CO,Archuleta,LACCESS_LOWI15,1289.723035
8007,CO,Archuleta,PCH_LACCESS_LOWI_10_15,37.88264224
8007,CO,Archuleta,PCT_LACCESS_LOWI10,7.740627043
8007,CO,Archuleta,PCT_LACCESS_LOWI15,10.67298109
8007,CO,Archuleta,LACCESS_HHNV10,75.92372942
8007,CO,Archuleta,LACCESS_HHNV15,104.7211043
8007,CO,Archuleta,PCH_LACCESS_HHNV_10_15,37.92934713
8007,CO,Archuleta,PCT_LACCESS_HHNV10,1.441498565
8007,CO,Archuleta,PCT_LACCESS_HHNV15,1.988249559
8007,CO,Archuleta,LACCESS_SNAP15,136.8525546
8007,CO,Archuleta,PCT_LACCESS_SNAP15,2.598301778
8007,CO,Archuleta,LACCESS_CHILD10,549.7576148
8007,CO,Archuleta,LACCESS_CHILD15,764.6759456
8007,CO,Archuleta,LACCESS_CHILD_10_15,39.09328858
8007,CO,Archuleta,PCT_LACCESS_CHILD10,4.549467186
8007,CO,Archuleta,PCT_LACCESS_CHILD15,6.328003522
